Station Category,Station #,Station Name,Katakana Name,Lat,Lon,Lat Degree,Lat Minute,Lon Degree,Lon Minute,Elevation,Precipitation,Wind,Teperature,Sunshine,Snowfall,,,,,Note 1,Note 2
区分,地点コード,地点,地点カナ,緯度,経度,緯度_度,緯度_分,経度_度,経度_分,標高,雨,風,気温,日照,積雪深,ed_y,ed_m,ed_d,観測終了日,備考1,備考2
s,47401,稚内,ワツカナイ,45.41500000,141.67833333,45,24.9,141,40.7,2.8,1,1,1,1,1,9999,99,99,,,
a,0002,沓形,クツガタ,45.17833333,141.13833333,45,10.7,141,8.3,14,1,1,1,1,0,9999,99,99,,,
a,0003,浜頓別,ハマトンベツ,45.12500000,142.35000000,45,7.5,142,21,18,1,1,1,1,0,9999,99,99,,,
s,47402,北見枝幸,キタミエサシ,44.94000000,142.58500000,44,56.4,142,35.1,6.7,1,1,1,1,1,9999,99,99,,,
a,0005,歌登,ウタノボリ,44.84166667,142.48000000,44,50.5,142,28.8,14,1,1,1,1,1,9999,99,99,,,
a,1051,中頓別,ナカトンベツ,44.96500000,142.28000000,44,57.9,142,16.8,25,1,1,1,1,1,9999,99,99,,,
a,1054,豊富,トヨトミ,45.10666667,141.76500000,45,6.4,141,45.9,16,1,1,1,1,1,9999,99,99,,,
a,1203,沼川,ヌマカワ,45.24833333,141.85166667,45,14.9,141,51.1,23,1,1,1,1,1,9999,99,99,,,
a,1207,船泊,フナドマリ,45.43666667,141.03500000,45,26.2,141,2.1,8,1,1,1,1,0,2003,10,16,,,
a,1284,宗谷岬,ソウヤミサキ,45.52000000,141.93500000,45,31.2,141,56.1,26,1,1,1,1,0,9999,99,99,,,
a,1285,浜鬼志別,ハマオニシベツ,45.33500000,142.17000000,45,20.1,142,10.2,13,1,1,1,1,1,9999,99,99,,,
a,1512,本泊,モトドマリ,45.24166667,141.18666667,45,14.5,141,11.2,30,1,1,1,0,0,9999,99,99,,,
a,1528,声問,コエトイ,45.40333333,141.80000000,45,24.2,141,48,8,1,1,1,0,1,9999,99,99,,,
a,1546,礼文,レブン,45.30500000,141.04500000,45,18.3,141,2.7,65,1,1,1,1,0,9999,99,99,,,
a,1593,幌泊,ホロドマリ,45.45500000,141.03833333,45,27.3,141,2.3,27,1,1,1,0,0,2009,4,8,,,
a,1573,幌延,ホロノベ,45.00666667,141.85166667,45,0.4,141,51.1,5,1,0,0,0,0,9999,99,99,,,
a,1573,幌延,ホロノベ,45.00666667,141.85166667,45,0.4,141,51.1,5,1,0,0,0,0,9999,99,99,,,
a,1656,礼文上泊埼,レブンウエドマリサキ,45.42333333,141.06500000,45,25.4,141,3.9,13,1,0,0,0,0,2014,10,21,,,
a,0006,美深,ビフカ,44.48000000,142.34166667,44,28.8,142,20.5,77,1,1,1,1,1,9999,99,99,,,
a,0007,ピヤシリ山,ピヤシリヤマ,44.43500000,142.58166667,44,26.1,142,34.9,980,1,0,0,0,0,2005,11,9,,,
a,0008,名寄,ナヨロ,44.37000000,142.45666667,44,22.2,142,27.4,89,1,1,1,1,1,9999,99,99,,,
